Category,Groups,Summary,Keywords,OLCs,geometry
🚲Bike Use,Bik4,Kid pump track great exercise kid bike hill get bit fun end potential route,"bike, kid, pump, track",85QFMC9M+RC,"POLYGON ((-110.567517 45.669492, -110.567538 45.669419, -110.567619 45.669297, -110.567662 45.668896, -110.567554 45.668615, -110.567243 45.668709, -110.566728 45.668997, -110.56462 45.670118, -110.565864 45.670152, -110.566396 45.670126, -110.566878 45.669938, -110.567157 45.669788, -110.567366 45.669698, -110.567484 45.66959, -110.567495 45.669526, -110.567517 45.669492))"
🚲Bike Use,Bik4,Kid pump track great exercise kid bike hill get bit fun end potential route,"bike, kid, pump, track",85QFMC9M+J3,"POLYGON ((-110.567431 45.669541, -110.56756 45.669571, -110.567651 45.669256, -110.567737 45.668859, -110.567544 45.668529, -110.5672 45.668697, -110.566739 45.668964, -110.567002 45.669117, -110.567383 45.669368, -110.567431 45.669541))"
🚲Bike Use,Bik4,Kid pump track great exercise kid bike hill get bit fun end potential route,"bike, kid, pump, track",85QFMC9M+G2,"POLYGON ((-110.567511 45.669045, -110.567757 45.668873, -110.567704 45.668664, -110.567532 45.668479, -110.567023 45.668813, -110.567511 45.669045))"
🚲Bike Use,Bik4,Kid pump track great exercise kid bike hill get bit fun end potential route,"bike, kid, pump, track",85QFMC9M+QC,"POLYGON ((-110.566503 45.669338, -110.566503 45.669458, -110.566331 45.669458, -110.566331 45.669338, -110.566503 45.669338))"
🚲Bike Use,Bik4,Kid pump track great exercise kid bike hill get bit fun end potential route,"bike, kid, pump, track",85QFMC9M+XQ,"POLYGON ((-110.565575 45.670243, -110.565843 45.670201, -110.566133 45.670189, -110.566342 45.670125, -110.565972 45.669425, -110.565414 45.669665, -110.564915 45.669905, -110.564748 45.670208, -110.565259 45.670164, -110.565575 45.670243))"
🛝Recreation Area,Rec0,Natural themed children's play area,"area, natural, play, tree",85QFMC9M+H3,"POLYGON ((-110.567061 45.669166, -110.567361 45.669346, -110.567399 45.669511, -110.567554 45.669556, -110.567678 45.66917, -110.567753 45.668971, -110.567726 45.668855, -110.567742 45.66875, -110.567624 45.668607, -110.567511 45.668491, -110.566755 45.668952, -110.567061 45.669166))"
🛝Recreation Area,Rec0,Natural themed children's play area,"area, natural, play, tree",85QFMC9M+G3,"POLYGON ((-110.567313 45.668999, -110.567694 45.668758, -110.567549 45.668507, -110.566894 45.668829, -110.567313 45.668999))"
🛝Recreation Area,Rec0,Natural themed children's play area,"area, natural, play, tree",85QFMC9J+8Q,"POLYGON ((-110.568139 45.668502, -110.568209 45.66839, -110.5683 45.668259, -110.568429 45.668068, -110.568423 45.667996, -110.568096 45.668191, -110.567796 45.668356, -110.567887 45.668454, -110.568139 45.668502))"
🛝Recreation Area,Rec0,Natural themed children's play area,"area, natural, play, tree",85QFMC9M+WJ,"POLYGON ((-110.566208 45.670171, -110.566835 45.669901, -110.566342 45.669222, -110.564684 45.670122, -110.566208 45.670171))"
🛝Recreation Area,Rec1,Playground equipment teen similar sacajawea swing swinging bench picnic shade tree,"playground, shade, swing, teen",85QFMC9M+QR,"POLYGON ((-110.566064 45.668945, -110.566064 45.669905, -110.56469 45.669905, -110.56469 45.668945, -110.566064 45.668945))"
